x;y
-115;-120
-115;-115
-115;-105
-115;-101
-115;-96
-115;-91
-115;-86
-115;-83
-115;-81
-115;-78
-115;-76
-115;-75
-113;-75
-109;-75
-105;-75
-102;-75
-94;-75
-91;-75
-88;-75
-84;-75
-81;-75
-75;-75
-72;-75
-72;-75
-72;-75
-72;-74
-72;-70
-72;-66
-72;-59
-72;-55
-72;-52
-72;-47
-67;-44
-63;-42
-53;-37
-50;-37
-46;-37
-42;-37
-39;-37
-35;-37
-28;-34
-24;-31
-20;-28
-20;-25
-20;-18
-20;-15
-20;-7
-19;-4
-17;0
-16;3
-12;5
-11;5
-8;5
-4;5
-1;5
2;5
6;5
12;5
16;5
18;5
20;9
22;14
23;18
23;21
23;28
23;31
23;35
27;37
31;39
35;41
39;41
43;41
50;41
53;41
57;41
65;47
69;50
70;53
70;57
70;60
70;69
70;74
71;78
75;86
77;89
79;89
81;89
84;89
91;89
95;90
99;92
106;96
106;99
106;101
106;109
106;114
106;118
106;123
106;128
106;130
106;130
107;130
110;130
114;130
121;130
125;130
128;130
132;130
134;130
135;130
137;130
139;130
139;130
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
