x;y
131;-106
131;-104
131;-102
131;-101
131;-98
131;-98
131;-95
131;-93
131;-92
131;-89
131;-88
131;-88
131;-88
129;-88
125;-88
123;-88
121;-88
115;-88
112;-88
108;-88
100;-88
100;-88
94;-88
91;-88
86;-88
86;-88
82;-80
80;-76
77;-68
77;-68
74;-60
72;-56
71;-49
71;-49
71;-42
71;-40
71;-40
69;-40
67;-40
65;-40
61;-40
58;-40
55;-40
51;-40
47;-40
39;-40
36;-40
34;-40
31;-40
30;-40
28;-35
27;-31
27;-24
27;-20
27;-17
27;-17
27;-17
27;-17
27;-17
27;-17
27;-17
26;-17
24;-17
23;-17
21;-17
17;-11
16;-8
12;-1
11;1
11;1
8;6
7;8
7;10
7;14
7;15
7;15
7;15
7;15
7;15
7;15
7;15
7;15
3;15
2;15
0;15
-3;15
-5;15
-9;15
-9;15
-11;15
-15;15
-18;15
-18;15
-20;15
-23;15
-25;16
-28;19
-30;21
-32;22
-33;24
-35;27
-37;32
-40;42
-42;46
-46;54
-47;54
-47;54
-47;54
-47;54
-47;55
-47;58
-52;65
-52;65
-55;68
-59;74
-62;74
-63;74
-67;74
-69;74
-70;74
-72;74
-76;74
-77;74
-79;74
-83;75
-85;77
-87;79
-89;81
-93;84
-95;84
-95;84
-95;84
-95;84
-95;84
-95;86
-95;88
-95;93
-95;96
-95;98
-95;101
-95;105
-95;112
-95;116
-95;119
-95;125
-95;125
-95;125
-95;125
-95;125
-95;125
-95;125
-97;125
-101;125
-102;125
-104;123
-106;121
-107;119
-110;114
-112;112
-113;112
-115;112
