time;x;y;fx;fy
63;120;-118;0;425
126;120;-114;0;425
189;120;-111;0;425
252;120;-107;0;425
315;120;-103;0;425
378;120;-100;0;580
441;120;-93;0;580
504;120;-89;0;580
567;120;-85;0;580
630;120;-82;0;580
693;120;-74;0;377
756;120;-71;0;377
819;120;-67;0;377
882;120;-63;0;377
945;120;-56;0;528
1008;120;-52;0;528
1071;120;-49;0;528
1134;120;-45;0;528
1197;120;-38;0;528
1260;120;-34;0;528
1323;120;-31;0;477
1386;120;-27;0;477
1449;120;-20;0;477
1512;120;-16;0;477
1575;120;-12;0;477
1638;120;-9;0;400
1701;120;-1;0;400
1764;120;1;0;400
1827;120;5;0;400
1890;120;9;0;400
1953;120;16;0;410
2016;120;20;0;410
2079;120;23;0;410
2142;120;27;0;410
2205;120;34;0;360
2268;120;38;0;360
2331;120;42;0;360
2394;120;45;0;360
2457;120;52;0;360
2520;120;56;0;304
2583;120;60;0;304
2646;120;63;0;304
2709;120;71;0;304
2772;120;74;0;304
2835;120;78;0;292
2898;120;82;0;292
2961;120;89;0;292
3024;120;93;0;292
3087;120;96;0;292
3150;120;100;0;190
3213;120;106;0;190
3276;120;109;0;190
3339;120;112;0;190
3402;120;115;0;190
3465;120;118;0;77
3528;120;118;0;77
3591;120;118;0;77
3654;120;118;0;77
3717;120;118;0;77
3780;120;118;0;0
3843;120;118;0;0
3906;120;118;0;0
3969;120;118;0;0
4032;120;118;0;0
4095;120;118;0;0
4158;120;118;0;0
4221;120;118;0;0
4284;120;118;0;0
4347;120;118;0;0
4410;120;118;0;0
4473;120;118;0;0
4536;120;118;0;0
4599;120;118;0;0
4662;120;118;-56;0
4725;120;118;-56;0
4788;120;118;-56;0
4851;120;118;-56;0
4914;120;118;-56;0
4977;120;118;-78;0
5040;120;118;-78;0
5103;120;118;-78;0
5166;120;118;-78;0
5229;119;118;-122;0
5292;118;118;-122;0
5355;116;118;-122;0
5418;114;118;-122;0
5481;111;118;-122;0
5544;109;118;-122;0
5607;107;118;-146;0
5670;105;118;-146;0
5733;101;118;-146;0
5796;99;118;-146;0
5859;97;118;-146;0
5922;95;118;-139;0
5985;91;118;-139;0
6048;89;118;-139;0
6111;87;118;-139;0
6174;86;118;-139;0
6237;82;118;-136;0
6300;80;118;-136;0
6363;78;118;-136;0
6426;76;118;-136;0
6489;74;118;-136;0
6552;70;118;-138;0
6615;68;118;-138;0
6678;66;118;-138;0
6741;62;118;-138;0
6804;60;118;-135;0
6867;58;118;-135;0
6930;56;118;-135;0
6993;52;118;-135;0
7056;50;118;-135;0
7119;48;118;-135;0
7182;47;118;-135;0
7245;45;118;-135;0
7308;41;118;-135;0
7371;39;118;-135;0
7434;37;118;-140;0
7497;35;118;-140;0
7560;31;118;-140;0
7623;29;118;-140;0
7686;27;118;-140;0
7749;23;118;-134;0
7812;21;118;-134;0
7875;20;118;-134;0
7938;18;118;-134;0
8001;15;118;-134;0
8064;13;118;-131;0
8127;11;118;-131;0
8190;9;118;-131;0
8253;8;118;-131;0
8316;4;118;-131;0
8379;2;118;-130;0
8442;1;118;-130;0
8505;0;118;-130;0
8568;-4;118;-130;0
8631;-5;118;-130;0
8694;-7;118;-126;0
8757;-9;118;-126;0
8820;-12;118;-126;0
8883;-14;118;-126;0
8946;-16;118;-126;0
9009;-17;118;-124;0
9072;-21;118;-124;0
9135;-22;118;-124;0
9198;-24;118;-124;0
9261;-27;118;-120;0
9324;-29;118;-120;0
9387;-31;118;-120;0
9450;-33;118;-120;0
9513;-36;118;-120;0
9576;-38;118;-112;0
9639;-39;118;-112;0
9702;-41;118;-112;0
9765;-44;118;-112;0
9828;-45;118;-112;0
9891;-47;118;-105;0
9954;-47;118;-105;0
10017;-47;118;-105;0
10080;-47;118;-105;0
10143;-47;118;-105;0
10206;-47;118;-105;0
10269;-48;118;-116;0
10332;-51;118;-116;0
10395;-53;118;-116;0
10458;-54;118;-116;0
10521;-56;118;-116;0
10584;-59;118;-131;0
10647;-61;118;-131;0
10710;-62;118;-131;0
10773;-64;118;-131;0
10836;-68;118;-127;0
10899;-69;118;-127;0
10962;-71;118;-127;0
11025;-73;118;-127;0
11088;-76;118;-127;0
11151;-78;118;-129;0
11214;-80;118;-129;0
11277;-81;118;-129;0
11340;-85;118;-129;0
11403;-86;118;-129;0
11466;-88;118;-126;0
11529;-90;118;-126;0
11592;-93;118;-126;0
11655;-95;118;-126;0
11718;-97;118;-126;0
11781;-98;118;-112;0
11844;-101;118;-112;0
11907;-103;118;-112;0
11970;-104;118;-112;0
12033;-106;118;-112;0
12096;-109;118;-100;0
12159;-109;118;-100;0
12222;-109;118;-100;0
12285;-109;118;-100;0
12348;-109;118;-100;0
12411;-109;118;-100;0
12474;-109;118;-107;0
12537;-109;118;-107;0
12600;-109;118;-107;0
12663;-109;118;-107;0
12726;-109;118;-107;0
12789;-110;118;-118;0
12852;-113;118;-118;0
12915;-114;118;-118;0
12978;-116;118;-118;0
13041;-117;118;-118;0
13104;-118;118;-108;0
13167;-118;118;-108;0
13230;-118;118;-108;0
13293;-118;118;-108;0
13356;-118;118;0;0
13419;-118;118;0;0
13482;-118;118;0;0
13545;-118;118;0;0
13608;-118;118;0;0
13671;-118;118;0;0
13734;-118;118;0;0
13797;-118;118;0;0
13860;-118;118;0;0
13923;-118;118;0;0
13986;-118;118;0;0
14049;-118;118;0;0
14112;-118;118;0;-51
14175;-118;118;0;-51
14238;-118;118;0;-51
14301;-118;118;0;-51
14364;-118;118;0;-51
14427;-118;118;0;-51
14490;-118;118;0;-74
14553;-118;118;0;-74
14616;-118;118;0;-74
14679;-118;118;0;-74
14742;-118;118;0;-74
14805;-118;118;0;-70
14868;-118;118;0;-70
14931;-118;118;0;-70
14994;-118;118;0;-70
15057;-118;118;0;-70
15120;-118;115;0;-134
15183;-118;114;0;-134
15246;-118;112;0;-134
15309;-118;110;0;-134
15372;-118;106;0;-228
15435;-118;102;0;-228
15498;-118;99;0;-228
15561;-118;96;0;-228
15624;-118;89;0;-228
15687;-118;86;0;-143
15750;-118;84;0;-143
15813;-118;82;0;-143
15876;-118;78;0;-143
15939;-118;76;0;-143
16002;-118;74;0;-153
16065;-118;72;0;-153
16128;-118;68;0;-153
16191;-118;66;0;-153
16254;-118;64;0;-153
16317;-118;62;0;-153
16380;-118;57;0;-153
16443;-118;55;0;-153
16506;-118;53;0;-153
16569;-118;51;0;-153
16632;-118;47;0;-177
16695;-118;44;0;-177
16758;-118;41;0;-177
16821;-118;39;0;-177
16884;-118;34;0;-177
16947;-118;31;0;-203
17010;-118;27;0;-203
17073;-118;24;0;-203
17136;-118;18;0;-203
17199;-118;14;0;-203
17262;-118;11;0;-162
17325;-118;9;0;-162
17388;-118;4;0;-162
17451;-118;1;0;-162
17514;-118;0;0;-162
17577;-118;-5;0;-152
17640;-118;-7;0;-152
17703;-118;-9;0;-152
17766;-118;-11;0;-152
17829;-118;-15;0;-149
17892;-118;-17;0;-149
17955;-118;-19;0;-149
18018;-118;-23;0;-149
18081;-118;-25;0;-149
18144;-118;-27;0;-134
18207;-118;-29;0;-134
18270;-118;-31;0;-134
18333;-118;-34;0;-134
18396;-118;-36;0;-134
18459;-118;-38;0;-124
18522;-118;-41;0;-124
18585;-118;-43;0;-124
18648;-118;-45;0;-124
18711;-118;-46;0;-124
18774;-118;-48;0;-94
18837;-118;-48;0;-94
18900;-118;-48;0;-94
18963;-118;-48;0;-94
19026;-118;-48;0;-94
19089;-118;-48;0;-94
19152;-118;-52;0;-160
19215;-118;-55;0;-160
19278;-118;-58;0;-160
19341;-118;-60;0;-160
