x;y
120;118
119;118
118;118
116;118
114;118
111;118
109;118
107;118
105;118
101;118
99;118
97;118
95;118
91;118
89;118
87;118
86;118
82;118
80;118
78;118
76;118
74;118
70;118
68;118
66;118
62;118
60;118
58;118
56;118
52;118
50;118
48;118
47;118
45;118
41;118
39;118
37;118
35;118
31;118
29;118
27;118
23;118
21;118
20;118
18;118
15;118
13;118
11;118
9;118
8;118
4;118
2;118
1;118
0;118
-4;118
-5;118
-7;118
-9;118
-12;118
-14;118
-16;118
-17;118
-21;118
-22;118
-24;118
-27;118
-29;118
-31;118
-33;118
-36;118
-38;118
-39;118
-41;118
-44;118
-45;118
-47;118
-47;118
-47;118
-47;118
-47;118
-47;118
-48;118
-51;118
-53;118
-54;118
-56;118
-59;118
-61;118
-62;118
-64;118
-68;118
-69;118
-71;118
-73;118
-76;118
-78;118
-80;118
-81;118
-85;118
-86;118
-88;118
-90;118
-93;118
-95;118
-97;118
-98;118
-101;118
-103;118
-104;118
-106;118
-109;118
-109;118
-109;118
-109;118
-109;118
-109;118
-109;118
-109;118
-109;118
-109;118
-109;118
-110;118
-113;118
-114;118
-116;118
-117;118
-118;118
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
