x;y
-118;-120
-118;-120
-116;-120
-113;-120
-107;-120
-103;-120
-100;-120
-97;-120
-87;-120
-82;-120
-78;-120
-73;-120
-64;-120
-62;-120
-60;-120
-58;-120
-54;-120
-52;-120
-50;-120
-47;-120
-42;-120
-40;-120
-37;-120
-34;-120
-27;-120
-24;-120
-18;-120
-18;-120
-11;-120
-8;-120
-4;-120
-1;-120
5;-120
9;-120
12;-120
16;-120
23;-120
27;-120
30;-120
37;-120
40;-120
43;-120
47;-120
53;-120
56;-120
60;-120
63;-120
66;-120
73;-120
76;-120
79;-120
83;-120
85;-120
85;-120
85;-120
85;-120
85;-120
85;-120
85;-120
85;-120
85;-120
85;-120
87;-120
88;-120
92;-120
94;-120
95;-120
97;-120
100;-120
102;-120
104;-120
105;-120
106;-120
106;-120
106;-120
106;-120
106;-120
106;-120
106;-120
106;-120
106;-120
106;-120
106;-120
108;-120
112;-120
114;-120
116;-120
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
