x;y
-118;118
-118;118
-118;118
-118;118
-118;118
-118;118
-118;118
-118;118
-118;118
-118;118
-118;118
-118;118
-118;118
-118;118
-118;118
-118;118
-118;118
-118;118
-118;118
-118;118
-118;118
-118;118
-118;118
-118;118
-118;118
-118;118
-118;118
-118;118
-118;118
-118;118
-118;115
-118;114
-118;112
-118;110
-118;106
-118;102
-118;99
-118;96
-118;89
-118;86
-118;84
-118;82
-118;78
-118;76
-118;74
-118;72
-118;68
-118;66
-118;64
-118;62
-118;57
-118;55
-118;53
-118;51
-118;47
-118;44
-118;41
-118;39
-118;34
-118;31
-118;27
-118;24
-118;18
-118;14
-118;11
-118;9
-118;4
-118;1
-118;0
-118;-5
-118;-7
-118;-9
-118;-11
-118;-15
-118;-17
-118;-19
-118;-23
-118;-25
-118;-27
-118;-29
-118;-31
-118;-34
-118;-36
-118;-38
-118;-41
-118;-43
-118;-45
-118;-46
-118;-48
-118;-48
-118;-48
-118;-48
-118;-48
-118;-48
-118;-52
-118;-55
-118;-58
-118;-60
-118;-65
-118;-67
-118;-69
-118;-73
-118;-75
-118;-77
-118;-80
-118;-85
-118;-87
-118;-90
-118;-95
-118;-95
-118;-100
-118;-103
-118;-105
-118;-110
-118;-112
-118;-114
-118;-116
-118;-120
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
